"municipio_id","mpioresidencia","unique_people"
"15455","15455 - Miraflores",24
"15469","15469 - Moniquirá",3
"15480","15480 - Muzo",1
"15511","15511 - Pachavita",1
"15514","15514 - Páez",2
"15516","15516 - Paipa",5
"15518","15518 - Pajarito",1
"15572","15572 - Puerto Boyacá",14
"15600","15600 - Ráquira",1
"15632","15632 - Saboyá",2
"15646","15646 - Samacá",2
"15660","15660 - San Eduardo",1
"15664","15664 - San José De Pare",1
"15667","15667 - San Luis De Gaceno",1
"15676","15676 - San Miguel De Sema",1
"15690","15690 - Santa María",1
"15693","15693 - Santa Rosa De Viterbo",1
"15740","15740 - Siachoque",1
"15755","15755 - Socotá",2
"15759","15759 - Sogamoso",9
"15790","15790 - Tasco",1
"15832","15832 - Tununguá",2
"15861","15861 - Ventaquemada",1
"15897","15897 - Zetaquira",1
"17001","17001 - Manizales",60
"17013","17013 - Aguadas",9
"17042","17042 - Anserma",6
"17050","17050 - Aranzazu",4
"17088","17088 - Belalcázar",3
"17174","17174 - Chinchiná",4
"17272","17272 - Filadelfia",3
"17380","17380 - La Dorada",44
"17388","17388 - La Merced",1
"17433","17433 - Manzanares",14
"17442","17442 - Marmato",2
"17444","17444 - Marquetalia",11
"17446","17446 - Marulanda",1
"17486","17486 - Neira",4
"17495","17495 - Norcasia",5
"17524","17524 - Palestina",4
"17541","17541 - Pensilvania",18
"17614","17614 - Riosucio",20
"17616","17616 - Risaralda",2
"17662","17662 - Samaná",28
"17665","17665 - San José",5
"17777","17777 - Supía",21
"17867","17867 - Victoria",6
"17873","17873 - Villamaría",6
"17877","17877 - Viterbo",3
"18001","18001 - Florencia",632
"18029","18029 - Albania",91
"18094","18094 - Belén De Los Andaquies",147
"18150","18150 - Cartagena Del Chairá",11
"18205","18205 - Curillo",20
"18247","18247 - El Doncello",10
"18256","18256 - El Paujil",9
"18410","18410 - La Montañita",5
"18460","18460 - Milán",7
"18479","18479 - Morelia",2
"18592","18592 - Puerto Rico",10
"18610","18610 - San José Del Fragua",194
"18753","18753 - San Vicente Del Caguán",15
"18756","18756 - Solano",3
"18785","18785 - Solita",9
"18860","18860 - Valparaíso",16
"19001","19001 - Popayán",459
"19022","19022 - Almaguer",3
"19050","19050 - Argelia",7
"19075","19075 - Balboa",2
"19100","19100 - Bolívar",30
"19110","19110 - Buenos Aires",161
"19130","19130 - Cajibío",8
"19137","19137 - Caldono",7
"19142","19142 - Caloto",4
"19212","19212 - Corinto",5
"19256","19256 - El Tambo",15
"19290","19290 - Florencia",8
"19300","19300 - Guachené",7
"19318","19318 - Guapi",10
"19355","19355 - Inzá",6
"19364","19364 - Jambaló",58
"19392","19392 - La Sierra",5
"19397","19397 - La Vega",1
"19418","19418 - López",3
"19450","19450 - Mercaderes",2
"19455","19455 - Miranda",15
"19473","19473 - Morales",8
"19513","19513 - Padilla",2
"19532","19532 - Patía",16
"19533","19533 - Piamonte",2
"19548","19548 - Piendamó",22
"19573","19573 - Puerto Tejada",9
"19585","19585 - Puracé",1
"19622","19622 - Rosas",5
"19693","19693 - San Sebastián",2
"19698","19698 - Santander De Quilichao",61
"19701","19701 - Santa Rosa",18
"19743","19743 - Silvia",4
"19760","19760 - Sotara",3
"19780","19780 - Suárez",7
"19785","19785 - Sucre",2
"19807","19807 - Timbío",23
"19809","19809 - Timbiquí",7
"19821","19821 - Toribio",27
"19845","19845 - Villa Rica",4
"20001","20001 - Valledupar",362
"20011","20011 - Aguachica",42
"20013","20013 - Agustín Codazzi",64
"20032","20032 - Astrea",9
"20045","20045 - Becerril",10
"20060","20060 - Bosconia",52
"20175","20175 - Chimichagua",9
"20178","20178 - Chiriguaná",11
"20228","20228 - Curumaní",21
"20238","20238 - El Copey",8
"20250","20250 - El Paso",4
"20295","20295 - Gamarra",3
"20310","20310 - González",3
"20383","20383 - La Gloria",3
"20400","20400 - La Jagua De Ibirico",105
"20443","20443 - Manaure",21
"20517","20517 - Pailitas",131
