"municipio_id","mpioresidencia","unique_people"
"86865","86865 - Valle Del Guamuez",528
"86885","86885 - Villagarzón",28
"88001","88001 - San Andrés",4
"91001","91001 - Leticia",14
"91405","91405 - La Chorrera",3
"91536","91536 - Puerto Arica",2
"91540","91540 - Puerto Nariño",1
"94001","94001 - Inírida",11
"94343","94343 - Barranco Minas",1
"95001","95001 - San José Del Guaviare",35
"95015","95015 - Calamar",3
"95025","95025 - El Retorno",7
"97001","97001 - Mitú",7
"97161","97161 - Caruru",3
"97666","97666 - Taraira",3
"99001","99001 - Puerto Carreño",4
"99524","99524 - La Primavera",2
"99624","99624 - Santa Rosalía",2
"99773","99773 - Cumaribo",4
